### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
111,84,410,-43.5744,0,255,0,0,100,1,1
112,282,262,-126.204,0,255,0,0,100,1,1
113,281,125,164.091,0,255,0,0,100,1,1
114,689,899,-40.9434,0,255,0,0,100,1,1
115,955,424,159.06,0,255,0,0,100,1,1
116,271,589,179.918,0,255,0,0,100,1,1
117,166,677,-29.645,0,255,0,0,100,1,1
118,313,223,-85.9154,0,255,0,0,100,1,1
119,107,714,131.848,0,255,0,0,100,1,1
120,757,203,-153.652,0,255,0,0,100,1,1
121,732,152,138.192,0,255,0,0,100,1,1
122,83,594,15.0304,0,255,0,0,100,1,1
123,328,480,127.398,0,255,0,0,100,1,1
124,914,628,-61.5215,0,255,0,0,100,1,1
125,810,753,-7.12287,0,255,0,0,100,1,1
126,512,358,-142.984,0,255,0,0,100,1,1
127,617,196,-78.566,0,255,0,0,100,1,1
128,653,481,-88.8483,0,255,0,0,100,1,1
129,276,729,15.0508,0,255,0,0,100,1,1
130,503,749,-146.98,0,255,0,0,100,1,1
131,40,397,40.0251,0,255,0,0,100,1,1
132,353,839,-72.8224,0,255,0,0,100,1,1
133,657,467,76.9224,0,255,0,0,100,1,1
134,579,290,77.1673,0,255,0,0,100,1,1
135,907,458,139.011,0,255,0,0,100,1,1
136,460,309,-63.4225,0,255,0,0,100,1,1
137,313,163,163.354,0,255,0,0,100,1,1
138,526,487,-113.851,0,255,0,0,100,1,1
139,490,377,92.1699,0,255,0,0,100,1,1
140,288,278,15.3832,0,255,0,0,100,1,1
141,454,743,-25.4846,0,255,0,0,100,1,1
142,911,675,-20.1133,0,255,0,0,100,1,1
143,828,712,-162.854,0,255,0,0,100,1,1
144,625,494,-168.819,0,255,0,0,100,1,1
145,761,876,-74.9419,0,255,0,0,100,1,1
146,923,402,67.8588,0,255,0,0,100,1,1
147,832,495,67.7093,0,255,0,0,100,1,1
148,832,648,-142.033,0,255,0,0,100,1,1
149,602,83,147.164,0,255,0,0,100,1,1
150,542,786,16.44,0,255,0,0,100,1,1
151,839,706,54.0459,0,255,0,0,100,1,1
152,814,460,167.283,0,255,0,0,100,1,1
153,777,560,-54.4478,0,255,0,0,100,1,1
154,278,454,78.438,0,255,0,0,100,1,1
155,313,95,100.993,0,255,0,0,100,1,1
156,715,274,52.2717,0,255,0,0,100,1,1
157,693,162,90.5189,0,255,0,0,100,1,1
158,497,406,-9.60049,0,255,0,0,100,1,1
159,267,162,-150.321,0,255,0,0,100,1,1
160,668,830,36.3293,0,255,0,0,100,1,1
161,130,388,-128.434,0,255,0,0,100,1,1
162,444,950,166.808,0,255,0,0,100,1,1
163,312,650,-176.137,0,255,0,0,100,1,1
164,287,411,86.9319,0,255,0,0,100,1,1
165,143,579,-105.291,0,255,0,0,100,1,1
166,210,207,133.741,0,255,0,0,100,1,1
167,351,94,-52.4266,0,255,0,0,100,1,1
168,543,628,-120.758,0,255,0,0,100,1,1
169,156,440,149.413,0,255,0,0,100,1,1
170,473,179,-1.67509,0,255,0,0,100,1,1
171,669,795,-125.702,0,255,0,0,100,1,1
172,463,482,-118.987,0,255,0,0,100,1,1
173,269,459,-156.696,0,255,0,0,100,1,1
174,411,937,125.85,0,255,0,0,100,1,1
175,924,420,101.983,0,255,0,0,100,1,1
176,570,204,119.164,0,255,0,0,100,1,1
177,629,631,-160.502,0,255,0,0,100,1,1
178,312,289,-97.0393,0,255,0,0,100,1,1
179,488,785,-31.4549,0,255,0,0,100,1,1
180,46,403,150.731,0,255,0,0,100,1,1
181,270,480,-19.3408,0,255,0,0,100,1,1
182,874,224,-68.3566,0,255,0,0,100,1,1
183,260,154,103.246,0,255,0,0,100,1,1
184,98,481,-35.1005,0,255,0,0,100,1,1
185,677,857,-97.6119,0,255,0,0,100,1,1
186,176,579,-147.438,0,255,0,0,100,1,1
187,276,400,128.271,0,255,0,0,100,1,1
188,360,491,107.245,0,255,0,0,100,1,1
189,826,212,-66.3642,0,255,0,0,100,1,1
190,190,797,-177.077,0,255,0,0,100,1,1
191,474,103,107.446,0,255,0,0,100,1,1
192,88,524,59.4671,0,255,0,0,100,1,1
193,527,161,20.594,0,255,0,0,100,1,1
194,109,262,-156.24,0,255,0,0,100,1,1
195,322,912,-140.294,0,255,0,0,100,1,1
196,586,648,-22.1348,0,255,0,0,100,1,1
197,383,641,-90.3915,0,255,0,0,100,1,1
198,812,198,44.9276,0,255,0,0,100,1,1
199,676,345,114.381,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
